depth         color
5038757  5064932
5038757  5064932
5072126  5098270
5072126  5098270
5072126  5098270
5072126  5098270
5072126  5098270
5105496  5131608
5105496  5131608
5105496  5131608
5105496  5131608
5105496  5131608
5138865  5164946
5138865  5164946
5138865  5164946
5138865  5164946
5172234  5198285
5172234  5198285
5172234  5198285
5172234  5198285
5172234  5198285
5205603  5231623
5205603  5231623
5205603  5231623
5205603  5231623
5205603  5231623
5238973  5264961
5238973  5264961
5238973  5264961
5238973  5264961
5272342  5298299
5272342  5298299
5272342  5298299
5272342  5298299
5272342  5298299
5272342  5298299
5305711  5331637
5305711  5331637
5305711  5331637
5305711  5331637
5339080  5364975
5339080  5364975
5339080  5364975
5339080  5364975
5339080  5364975
5372450  5398313
5372450  5398313
5372450  5398313
5372450  5398313
5372450  5398313
5372450  5398313
5372450  5398313
5405819  5431651
5405819  5431651
5405819  5431651
5405819  5431651
5405819  5431651
5439188  5464990
5439188  5464990
5439188  5464990
5439188  5464990
5439188  5464990
5439188  5464990
5472557  5498328
5472557  5498328
5472557  5498328
5472557  5498328
5472557  5498328
5505927  5531666
5505927  5531666
5505927  5531666
5505927  5531666
5505927  5531666
5505927  5531666
5539296  5565004
5539296  5565004
5539296  5565004
5539296  5565004
5539296  5565004
5539296  5565004
5572665  5598342
5572665  5598342
5572665  5598342
5572665  5598342
5572665  5598342
5572665  5598342
5572665  5598342
5606034  5631680
5606034  5631680
5606034  5631680
5606034  5631680
5606034  5631680
5639404  5665018
5639404  5665018
5639404  5665018
5639404  5665018
5639404  5665018
5639404  5665018
5672773  5698356
5672773  5698356
5672773  5698356
5672773  5698356
5672773  5698356
5706142  5731695
5706142  5731695
5706142  5731695
5706142  5731695
5706142  5731695
5706142  5731695
5739511  5765033
5739511  5765033
5739511  5765033
5739511  5765033
5772881  5798371
5772881  5798371
5772881  5798371
5772881  5798371
5772881  5798371
5806250  5831709
5806250  5831709
5806250  5831709
5806250  5831709
5806250  5831709
5839619  5865047
5839619  5865047
5839619  5865047
5839619  5865047
5839619  5865047
5872988  5898385
5872988  5898385
5872988  5898385
5872988  5898385
5906358  5931723
5906358  5931723
5906358  5931723
5906358  5931723
5906358  5931723
5939727  5965061
5939727  5965061
5939727  5965061
5939727  5965061
5939727  5965061
5939727  5965061
5973096  5998400
5973096  5998400
5973096  5998400
5973096  5998400
5973096  5998400
6006465  6031738
6006465  6031738
6006465  6031738
6039835  6065076
6039835  6065076
6039835  6065076
6039835  6065076
6039835  6065076
