depth         color          imu
19754596  19747352  19733281
19787966  19780690  19766078
19821335  19814028  19798835
19854704  19847366  19831685
19854704  19847366  19831685
19888073  19880704  19864417
19921443  19914042  19897245
19954812  19947381  19934002
19988181  19980719  19966752
19988181  19980719  19966752
20021550  20014057  19999522
20054920  20047395  20032276
20088289  20080733  20065079
20121658  20114071  20097830
20155027  20147409  20130565
20188397  20180747  20163355
20221766  20214086  20200341
20255135  20247424  20237110
20288504  20280762  20269824
20321874  20314100  20302613
20355243  20347438  20335363
20355243  20347438  20335363
20388612  20380776  20368115
20421981  20414114  20400915
20455351  20447452  20433643
20488720  20480791  20466407
20488720  20480791  20466407
20522089  20514129  20499216
20555458  20547467  20532026
20588828  20580805  20564745
20622197  20614143  20605676
20655566  20647481  20638423
20688935  20680819  20671217
20722305  20714157  20699906
20755674  20747496  20732678
20789043  20780834  20765414
20822412  20814172  20798195
20855782  20847510  20831042
20889151  20880848  20867820
20922520  20914186  20900637
20955889  20947524  20933429
20955889  20947524  20933429
20989259  20980862  20966182
21022628  21014201  20999030
21055997  21047539  21035732
21089366  21080877  21068482
21122736  21114215  21101288
21156105  21147553  21134018
21189474  21180891  21166832
21222843  21214229  21199589
21256213  21247567  21232362
21289582  21280906  21265123
21289582  21280906  21265123
21322951  21314244  21302023
21356320  21347582  21334842
21389690  21380920  21371581
21456428  21447596  21437166
21489797  21480934  21469883
21523167  21514272  21502675
21556536  21547611  21535401
21589905  21580949  21568199
21589905  21580949  21568199
21623274  21614287  21600934
21656644  21647625  21633724
21690013  21680963  21666492
21723382  21714301  21699261
21723382  21714301  21699261
21756751  21747639  21732007
21790121  21780977  21773085
21823490  21814316  21797548
21856859  21847654  21797548
21856859  21847654  21838541
21890228  21880992  21871247
21923598  21914330  21904100
21956967  21947668  21936788
21956967  21947668  21936788
21990336  21981006  21965485
22023705  22014344  22002381
22057075  22047682  22035100
22057075  22047682  22035100
22090444  22081021  22067857
22123813  22114359  22100628
22157182  22147697  22133389
22157182  22147697  22133389
22190552  22181035  22166186
22223921  22214373  22207119
22223921  22214373  22207119
22257290  22247711  22231749
22290659  22281049  22272709
22324029  22314387  22272709
22324029  22314387  22305385
22357398  22347726  22334104
22390767  22381064  22366853
22424136  22414402  22366853
22424136  22414402  22399630
22457506  22447740  22432375
22490875  22481078  22465134
22490875  22481078  22465134
22524244  22514416  22502002
22557613  22547754  22534811
22590983  22581092  22567571
22590983  22581092  22567571
22624352  22614431  22600464
22657721  22647769  22641256
22691090  22681107  22665977
22724460  22714445  22702748
22757829  22747783  22735492
22791198  22781121  22768306
22824567  22814459  22801040
22824567  22814459  22801040
22857937  22847797  22837858
22891306  22881136  22866605
22958044  22947812  22936258
23024783  23014488  23009955
23091521  23081164  23071540
23158260  23147841  23136879
23191629  23181179  23169627
23191629  23181179  23169627
23224998  23214517  23202409
23258368  23247855  23235152
23291737  23281193  23267892
23325106  23314531  23300693
23325106  23314531  23300693
23358475  23347869  23333472
23391845  23381207  23370433
23458583  23447884  23440080
23525322  23514560  23505502
23592060  23581236  23571045
23625429  23614574  23603800
23658799  23647912  23636575
23692168  23681251  23669328
23725537  23714589  23702094
23758906  23747927  23734848
23792276  23781265  23771831
23825645  23814603  23800380
23859014  23847941  23841360
23859014  23847941  23841360
23892383  23881279  23874081
23925753  23914617  23906856
23959122  23947956  23939643
23992491  23981294  23972396
24025860  24014632  24001059
24025860  24014632  24001059
24059230  24047970  24037940
24092599  24081308  24071404
24125968  24114646  24103495
24159337  24147984  24136243
24226076  24214661  24210033
24259445  24247999  24242751
24292814  24281337  24275494
24326184  24314675  24308256
24359553  24348013  24341010
24392922  24381351  24373789
24392922  24381351  24373789
24426291  24414689  24406544
24459661  24448027  24435226
24493030  24481366  24468012
24493030  24481366  24468012
24526399  24514704  24504871
24559768  24548042  24537606
24593138  24581380  24570367
24593138  24581380  24570367
24626507  24614718  24603126
24659876  24648056  24635919
24693245  24681394  24668699
24693245  24681394  24668699
24726615  24714732  24701482
24759984  24748071  24742365
24793353  24781409  24767050
24793353  24781409  24767050
24826722  24814747  24803837
24860092  24848085  24836588
24893461  24881423  24869357
24926830  24914761  24902124
24926830  24914761  24902124
24960199  24948099  24939033
24993569  24981437  24967697
25060307  25048114  25045538
25127046  25114790  25102919
25160415  25148128  25139704
25193784  25181466  25172487
25227153  25214804  25205211
25260523  25248142  25238033
25293892  25281481  25270798
25327261  25314819  25270798
25327261  25314819  25303521
25360630  25348157  25336293
25394000  25381495  25373237
25394000  25381495  25373237
25427369  25414833  25401813
25460738  25448171  25438741
25494107  25481509  25471502
25494107  25481509  25471502
25527477  25514847  25504315
25560846  25548186  25541088
25594215  25581524  25573845
25594215  25581524  25573845
25627584  25614862  25606628
25660954  25648200  25639366
25694323  25681538  25672122
25694323  25681538  25672122
25727692  25714876  25704901
25761061  25748214  25737662
25794431  25781552  25770457
25794431  25781552  25770457
25827800  25814891  25803203
25861169  25848229  25836014
25894538  25881567  25876953
25927908  25914905  25909721
25961277  25948243  25942481
25994646  25981581  25975237
26028015  26014919  26008027
26061385  26048257  26036661
26094754  26081596  26069416
26128123  26114934  26106287
26128123  26114934  26106287
26161492  26148272  26139081
26194862  26181610  26171828
26194862  26181610  26171828
26228231  26214948  26204576
26261600  26248286  26237342
26294969  26281624  26270113
26294969  26281624  26270113
26328339  26314962  26302941
26361708  26348301  26335721
26395077  26381639  26376650
26428446  26414977  26405254
26428446  26414977  26405254
26461816  26448315  26438028
26495185  26481653  26470785
26528554  26514991  26503584
26561923  26548329  26540455
26561923  26548329  26540455
26595293  26581667  26569137
26628662  26615006  26606078
26662031  26648344  26638782
26695400  26681682  26671678
26728770  26715020  26704356
26728770  26715020  26704356
26762139  26748358  26741160
26795508  26781696  26773953
26828877  26815034  26806649
26828877  26815034  26806649
26862247  26848372  26839473
26895616  26881711  26872200
26928985  26915049  26905020
26928985  26915049  26905020
26962354  26948387  26937724
26995724  26981725  26970482
26995724  26981725  26970482
27029093  27015063  27003267
27062462  27048401  27040266
27062462  27048401  27040266
27095831  27081739  27077022
27129201  27115077  27109730
27162570  27148416  27142553
27162570  27148416  27142553
27195939  27181754  27175279
27229308  27215092  27208079
27262678  27248430  27240816
27262678  27248430  27240816
27296047  27281768  27273579
27329416  27315106  27306329
27329416  27315106  27306329
27362785  27348444  27339140
27396155  27381782  27371869
27429524  27415121  27404704
27429524  27415121  27404704
27462893  27448459  27437420
27496262  27481797  27478384
27529632  27515135  27511171
27529632  27515135  27511171
27563001  27548473  27543906
27596370  27581811  27576673
27629739  27615149  27605367
27629739  27615149  27605367
27663109  27648487  27638108
27696478  27681826  27670868
27696478  27681826  27670868
27729847  27715164  27703640
27763216  27748502  27740506
27796586  27781840  27773296
27796586  27781840  27773296
27829955  27815178  27806072
27863324  27848516  27838821
27896693  27881854  27871625
27896693  27881854  27871625
27930063  27915192  27912539
27963432  27948531  27937217
27996801  27981869  27974017
27996801  27981869  27974017
28030170  28015207  28006757
28063540  28048545  28039497
28063540  28048545  28039497
28096909  28081883  28072283
28130278  28115221  28109130
28163647  28148559  28137784
28197017  28181897  28174662
28197017  28181897  28174662
28230386  28215236  28207446
28263755  28248574  28240258
28297124  28281912  28240258
28297124  28281912  28273070
28330494  28315250  28309795
28363863  28348588  28342574
28397232  28381926  28375364
28397232  28381926  28375364
28430601  28415264  28408113
28463971  28448602  28440868
28497340  28481941  28473668
28497340  28481941  28473668
28530709  28515279  28506411
28564078  28548617  28543300
28564078  28548617  28543300
28597448  28581955  28571941
28630817  28615293  28608858
28664186  28648631  28608858
28664186  28648631  28641657
28697555  28681969  28678400
28730925  28715307  28711207
28730925  28715307  28711207
28764294  28748646  28744012
28797663  28781984  28776721
28831032  28815322  28809487
28831032  28815322  28809487
28864402  28848660  28842269
